Time:200.0 Hz,Epoch,FP1,FP2,O1,O2,Event Id,Event Date,Event Duration
0.41000000000000025,20, -206.93, -213.24, -159.01, -212.52,,,
0.41500000000000026,20, -199.33, -205.78, -148.23, -209.30,,,
0.42000000000000026,21, -201.87, -209.57, -167.29, -217.97,,,
0.42500000000000027,21, -197.44, -206.39, -173.97, -219.62,,,
0.43000000000000027,21, -191.74, -206.57, -148.31, -208.82,,,
0.4350000000000003,21, -186.08, -197.26, -151.19, -202.51,,,
0.4400000000000003,22, -192.33, -199.31, -169.01, -214.68,,,
0.4450000000000003,22, -180.74, -196.58, -153.69, -214.07,,,
0.4500000000000003,22, -190.57, -197.23, -151.32, -206.61,,,
0.4550000000000003,22, -192.66, -199.01, -144.91, -203.01,,,
0.4600000000000003,23, -194.28, -203.97, -157.30, -207.13,,,
0.4650000000000003,23, -189.10, -194.42, -153.02, -205.74,,,
0.4700000000000003,23, -188.29, -197.15, -147.77, -201.23,,,
0.4750000000000003,23, -192.13, -203.68, -151.27, -200.12,,,
0.4800000000000003,24, -183.49, -193.20, -142.88, -200.33,,,
0.4850000000000003,24, -199.33, -202.79, -158.47, -212.38,,,
0.4900000000000003,24, -205.08, -214.19, -177.10, -224.35,,,
0.49500000000000033,24, -178.77, -192.73, -146.44, -199.89,,,
0.5000000000000003,25, -184.61, -193.93, -149.77, -206.26,,,
0.5050000000000003,25, -184.28, -191.45, -152.86, -206.89,,,
0.5100000000000003,25, -197.55, -200.14, -156.54, -208.88,,,
0.5150000000000003,25, -185.78, -196.02, -159.95, -215.25,,,
0.5200000000000004,26, -193.87, -197.69, -166.08, -218.07,,,
0.5250000000000004,26, -190.42, -193.60, -158.52, -212.24,,,
0.5300000000000004,26, -185.04, -192.11, -134.55, -199.58,,,
0.5350000000000004,26, -188.69, -195.40, -139.65, -202.79,,,
0.5400000000000004,27, -187.92, -203.77, -154.34, -220.71,,,
0.5450000000000004,27, -190.84, -199.67, -163.37, -223.97,,,
0.5500000000000004,27, -199.72, -203.85, -178.36, -216.18,,,
0.5550000000000004,27, -189.11, -200.08, -155.81, -215.84,,,
0.5600000000000004,28, -192.87, -203.39, -159.16, -230.10,,,
0.5650000000000004,28, -205.55, -215.89, -173.15, -235.22,,,
0.5700000000000004,28, -203.22, -210.10, -176.03, -231.43,,,
0.5750000000000004,28, -206.70, -213.62, -178.93, -236.40,,,
0.5800000000000004,29, -215.57, -221.39, -181.68, -238.19,,,
0.5850000000000004,29, -206.57, -207.99, -166.02, -221.89,,,
0.5900000000000004,29, -187.49, -201.67, -155.30, -209.06,,,
0.5950000000000004,29, -190.13, -203.77, -159.66, -218.61,,,
0.6000000000000004,30, -193.81, -203.63, -152.48, -213.84,,,
0.6050000000000004,30, -194.40, -202.93, -162.83, -217.94,,,
0.6100000000000004,30, -199.01, -204.56, -156.70, -219.73,,,
0.6150000000000004,30, -197.10, -205.88, -155.64, -211.58,,,
0.6200000000000004,31, -198.11, -204.86, -166.36, -216.47,,,
0.6250000000000004,31, -200.49, -203.33, -167.08, -216.88,,,
0.6300000000000004,31, -199.05, -208.20, -177.82, -232.43,,,
0.6350000000000005,31, -206.29, -210.57, -168.07, -217.29,,,
0.6400000000000005,32, -195.87, -202.29, -160.55, -215.79,,,
0.6450000000000005,32, -201.83, -206.98, -168.78, -221.48,,,
0.6500000000000005,32, -197.95, -210.19, -166.76, -219.85,,,
0.6550000000000005,32, -202.78, -216.03, -180.61, -229.86,,,
0.6600000000000005,33, -201.11, -215.43, -175.58, -231.41,,,
0.6650000000000005,33, -187.10, -194.93, -153.84, -212.50,,,
0.6700000000000005,33, -173.08, -187.23, -147.11, -204.58,,,
0.6750000000000005,33, -182.50, -192.91, -145.45, -208.22,,,
0.6800000000000005,34, -192.85, -196.16, -152.83, -210.24,,,
0.6850000000000005,34, -197.05, -197.50, -155.77, -208.22,,,
0.6900000000000005,34, -191.17, -199.53, -146.08, -206.98,,,
0.6950000000000005,34, -187.85, -195.89, -148.21, -203.66,,,
0.7000000000000005,35, -191.53, -200.58, -155.76, -205.46,,,
0.7050000000000005,35, -189.32, -195.20, -144.08, -203.79,,,
0.7100000000000005,35, -186.06, -195.12, -157.26, -210.14,,,
0.7150000000000005,35, -201.38, -206.40, -186.22, -239.02,,,
0.7200000000000005,36, -194.76, -197.96, -170.49, -228.03,,,
0.7250000000000005,36, -194.62, -197.76, -151.30, -215.21,,,
0.7300000000000005,36, -202.03, -209.14, -175.99, -232.82,,,
0.7350000000000005,36, -204.10, -205.62, -171.33, -222.62,,,
0.7400000000000005,37, -188.72, -197.84, -165.79, -215.27,,,
0.7450000000000006,37, -189.30, -198.90, -158.32, -209.76,,,
0.7500000000000006,37, -199.15, -196.43, -146.82, -207.27,,,
0.7550000000000006,37, -207.71, -210.81, -165.24, -228.09,,,
0.7600000000000006,38, -198.54, -201.91, -169.42, -223.24,,,
0.7650000000000006,38, -191.75, -197.43, -161.55, -214.76,,,
0.7700000000000006,38, -192.67, -203.44, -164.15, -217.05,,,
0.7750000000000006,38, -190.74, -202.15, -164.37, -222.25,,,
0.7800000000000006,39, -184.78, -197.72, -156.63, -215.27,,,
0.7850000000000006,39, -191.44, -197.75, -163.61, -218.06,,,
0.7900000000000006,39, -183.57, -195.61, -157.29, -216.32,,,
0.7950000000000006,39, -180.74, -186.57, -146.25, -208.77,,,
0.8000000000000006,40, -175.82, -182.19, -157.55, -215.35,,,
0.8050000000000006,40, -158.93, -162.69, -152.99, -207.86,,,
0.8100000000000006,40, -158.68, -162.61, -146.64, -211.10,,,
0.8150000000000006,40, -144.38, -148.37, -147.85, -206.35,,,
0.8200000000000006,41, -131.72, -139.59, -165.15, -219.11,,,
0.8250000000000006,41, -123.97, -121.86, -157.93, -214.70,,,
0.8300000000000006,41, -88.77, -93.70, -141.00, -203.95,,,
0.8350000000000006,41, -79.27, -81.59, -135.66, -195.80,,,
0.8400000000000006,42, -72.88, -63.89, -137.73, -203.66,,,
0.8450000000000006,42, -62.97, -43.88, -131.70, -197.24,,,
0.8500000000000006,42, -70.39, -54.42, -148.82, -206.95,,,
0.8550000000000006,42, -47.00, -43.81, -131.01, -195.49,,,
0.8600000000000007,43, -67.34, -60.30, -150.99, -207.45,,,
0.8650000000000007,43, -62.86, -48.97, -148.92, -213.85,,,
0.8700000000000007,43, -91.54, -86.11, -147.11, -210.75,,,
0.8750000000000007,43, -102.95, -93.99, -148.08, -204.65,,,
